Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T.mzML
A0A075B6H7	A0A075B6H7		IGKV3-7		1.15078e+07		1.67098e+07	5.23057e+06	1.56331e+06	3.30753e+06	6.01919e+06	582433	1.24532e+06	9.45909e+06
A0A075B6J2	A0A075B6J2		IGLV2-33		992891		852624	116486	129461		486764	108517	429645	127771
A0A075B6Q5	A0A075B6Q5		IGHV3-64		3.27904e+06	2.99544e+06	2.98511e+06	1.58063e+06	1.26492e+06		3.63628e+06	1.41954e+06		1.01176e+06
A0A075B6R9	A0A075B6R9		IGKV2D-24		7.76594e+06	3.33241e+06	8.28674e+06	3.79802e+06	2.56829e+06	904343	6.35658e+06	1.73127e+06	3.84831e+06	1.09359e+06
A0A075B6S2	A0A075B6S2		IGKV2D-29		8.7477e+06	310027	9.98068e+06		375331		182868		379454	999943
A0A0A0MS15	A0A0A0MS15		IGHV3-49		1.78554e+06	1.15602e+06	3.39703e+06	712559	1.42512e+06	408955	1.34831e+06		789723	1.36618e+06
A0A0B4J1U7	A0A0B4J1U7		IGHV6-1		4.48606e+06	217386	4.98104e+06	220183	164504		351491	73166.3	244250	666500
A0A0B4J1V0	A0A0B4J1V0		IGHV3-15		2.93026e+06	416617	2.73514e+06	364616	289347	145960	697663	116222	285306	463471
A0A0B4J1V6	A0A0B4J1V6		IGHV3-73		1.73335e+06	353681	1.89584e+06	480621	450664	124681	644654		452981	950859
A0A0B4J1Y8	A0A0B4J1Y8		IGLV9-49		917628		556435	281035	485385					
